Freq         absorptivity
 2.1232e-01  6.3768    
 2.3697e-01  5.2174    
 2.7393e-01  5.5072    
 2.9858e-01  6.3768    
 3.6019e-01  5.7971    
 3.8483e-01  6.6667    
 4.3412e-01  6.6667    
 4.5877e-01  7.5362    
 5.2038e-01  7.5362    
 5.3270e-01  8.1159    
 6.1896e-01  8.1159    
 6.1896e-01  8.6957    
 7.2986e-01  9.8551    
 7.7915e-01  9.2754    
 8.0379e-01  9.8551    
 8.6540e-01  1.0145e+01
 9.1469e-01  1.0145e+01
 9.7630e-01  1.0435e+01
 1.0256      1.1304e+01
 1.0995      1.1304e+01
 1.1611      1.2464e+01
 1.1858      1.2754e+01
 1.2351      1.3913e+01
 1.3213      1.4493e+01
 1.3953      1.5652e+01
 1.4445      1.6522e+01
 1.4938      1.7101e+01
 1.5308      1.7971e+01
 1.5678      1.8551e+01
 1.6047      1.8841e+01
 1.6294      2.0000e+01
 1.7033      2.1449e+01
 1.7649      2.2609e+01
 1.8265      2.3768e+01
 1.8635      2.3768e+01
 1.9251      2.4638e+01
 1.9867      2.5217e+01
 2.0237      2.6377e+01
 2.0237      2.6957e+01
 2.0607      2.7246e+01
 2.1346      2.8116e+01
 2.1716      2.9275e+01
 2.1839      3.0145e+01
 2.1962      3.1594e+01
 2.2209      3.2174e+01
 2.2332      3.1304e+01
 2.2455      3.0145e+01
 2.2578      2.8986e+01
 2.2825      2.8116e+01
 2.3318      2.7826e+01
 2.3441      2.8696e+01
 2.3441      2.8986e+01
 2.3810      3.0435e+01
 2.4057      3.1304e+01
 2.4180      3.2174e+01
 2.4550      3.4203e+01
 2.4796      3.5072e+01
 2.4919      3.6522e+01
 2.5166      3.7971e+01
 2.5412      3.8841e+01
 2.5659      3.7971e+01
 2.5782      3.6232e+01
 2.6028      3.3913e+01
 2.6028      3.0145e+01
 2.6521      2.8696e+01
 2.6645      2.7826e+01
 2.6891      2.6377e+01
 2.6891      2.7536e+01
 2.7137      2.9275e+01
 2.7261      2.7536e+01
 2.7507      2.6957e+01
 2.7754      2.6087e+01
 2.7754      2.5507e+01
 2.8000      2.5217e+01


Name: alanine  

