Freq         absorptivity
 2.0000e-01  8.7591    
 2.5000e-01  8.1752    
 2.8750e-01  9.3431    
 3.3750e-01  9.9270    
 3.8750e-01  9.9270    
 4.2500e-01  1.1679e+01
 4.5000e-01  1.1679e+01
 5.0000e-01  1.2847e+01
 5.3750e-01  1.3431e+01
 5.8750e-01  1.4599e+01
 6.5000e-01  1.5766e+01
 7.1250e-01  1.6934e+01
 7.6250e-01  1.8102e+01
 8.2500e-01  1.9270e+01
 8.5000e-01  2.0438e+01
 8.8750e-01  2.1606e+01
 9.1250e-01  2.3358e+01
 9.5000e-01  2.4526e+01
 9.6250e-01  2.5693e+01
 1.0125      2.4526e+01
 1.0625      2.3942e+01
 1.0875      2.2190e+01
 1.1625      2.2190e+01
 1.2000      2.3358e+01
 1.2375      2.5109e+01
 1.2750      2.6861e+01
 1.3125      2.9197e+01
 1.3250      3.1533e+01
 1.3625      3.3285e+01
 1.3875      3.7956e+01
 1.4000      3.9124e+01
 1.4125      4.0876e+01
 1.4250      4.2044e+01
 1.4250      4.3212e+01
 1.4750      4.4380e+01
 1.4875      4.3796e+01
 1.5125      4.3212e+01
 1.5500      4.1460e+01
 1.7000      4.0876e+01
 1.8000      3.9708e+01
 1.8625      3.9708e+01
 1.9125      4.0292e+01
 1.9500      4.2044e+01
 2.0000      4.2628e+01
 2.0500      4.3796e+01
 2.1125      4.4380e+01
 2.1625      4.6131e+01
 2.2250      4.7883e+01
 2.3000      5.0219e+01
 2.3500      5.3139e+01
 2.4125      5.7226e+01
 2.4250      6.0146e+01
 2.4875      6.4818e+01
 2.5125      7.0073e+01
 2.5500      7.5912e+01
 2.5500      7.8248e+01
 2.5750      8.0584e+01
 2.5875      8.1752e+01
 2.6250      7.8248e+01
 2.6375      7.3577e+01
 2.6625      7.0073e+01
 2.7000      6.3650e+01
 2.7375      6.2482e+01
 2.7625      6.0730e+01
 2.7875      5.8978e+01



Name:  arginine 

