Freq         absorptivity
 4.4762e-01  8.3333e-01
 4.8476e-01  8.3333e-01
 5.2190e-01  8.3333e-01
 5.5905e-01  2.5000    
 5.9619e-01  2.5000    
 6.2095e-01  2.5000    
 6.7048e-01  3.3333    
 7.4476e-01  4.1667    
 7.6952e-01  5.0000    
 7.9429e-01  5.8333    
 8.6857e-01  6.6667    
 9.0571e-01  8.3333    
 9.6762e-01  9.1667    
 1.0667      1.3333e+01
 1.1781      1.7500e+01
 1.2648      2.0000e+01
 1.3267      2.3333e+01
 1.3638      2.5833e+01
 1.4133      3.0000e+01
 1.4505      3.5000e+01
 1.4876      4.0000e+01
 1.4876      4.4167e+01
 1.5248      5.0000e+01
 1.5248      5.5833e+01
 1.5371      6.1667e+01
 1.5495      6.5833e+01
 1.5495      7.1667e+01
 1.5619      7.8333e+01
 1.5743      8.4167e+01
 1.5743      9.6667e+01
 1.5867      1.0250e+02
 1.5990      1.0750e+02
 1.6114      1.1167e+02
 1.6362      1.1250e+02
 1.6733      1.0917e+02
 1.6857      1.0250e+02
 1.6981      9.2500e+01
 1.7105      7.9167e+01
 1.7229      6.8333e+01
 1.7476      5.9167e+01
 1.7724      5.0833e+01
 1.8343      5.0000e+01
 1.8962      5.2500e+01
 1.9581      5.7500e+01
 2.0076      6.5000e+01
 2.0324      7.0000e+01
 2.0819      7.9167e+01
 2.1562      8.5000e+01
 2.2181      8.9167e+01
 2.2305      9.0833e+01
 2.2552      9.4167e+01
 2.2924      9.0833e+01
 2.3295      9.0833e+01
 2.3543      8.4167e+01
 2.3914      7.5833e+01
 2.4410      7.0833e+01
 2.5400      6.4167e+01
 2.5895      5.5833e+01
 2.6390      4.8333e+01
 2.6638      4.4167e+01
 2.7257      4.0000e+01
 2.7505      3.8333e+01
 2.7876      3.6667e+01


Name:   asparagine

