Freq         absorptivity
 2.0000e-01  2.0645    
 2.5000e-01  2.0645    
 3.0000e-01  2.0645    
 3.6250e-01  2.0645    
 4.1250e-01  1.5484    
 4.6250e-01  1.0323    
 5.3750e-01  1.0323    
 6.2500e-01  1.0323    
 7.3750e-01  1.2903    
 8.5000e-01  1.5484    
 1.0125      1.5484    
 1.1250      1.8065    
 1.1875      3.0968    
 1.2875      4.6452    
 1.3625      5.4194    
 1.4375      5.6774    
 1.4875      6.1935    
 1.6000      7.4839    
 1.7000      8.2581    
 1.7375      9.8065    
 1.8250      1.1613e+01
 1.8500      1.2903e+01
 1.9125      1.3419e+01
 1.9750      1.3677e+01
 2.0125      1.4710e+01
 2.0500      1.6258e+01
 2.1500      1.8065e+01
 2.2000      1.9355e+01
 2.2500      2.0645e+01
 2.2875      2.1935e+01
 2.3125      2.3484e+01
 2.3375      2.4774e+01
 2.3750      2.6581e+01
 2.4250      2.9161e+01
 2.4500      3.1226e+01
 2.4875      3.3806e+01
 2.5250      3.4581e+01
 2.5500      3.5871e+01
 2.5875      3.5097e+01
 2.6125      3.3806e+01
 2.6250      3.2774e+01
 2.6625      3.1484e+01
 2.6750      3.0710e+01
 2.7000      2.9935e+01
 2.7375      2.8903e+01
 2.7750      2.8129e+01
 2.7875      2.7355e+01


Name:  aspartic acid    
