Freq         absorptivity
 2.8155e-01  3.2258e-01
 3.2233e-01  3.2258e-01
 3.7670e-01  3.2258e-01
 4.5825e-01  6.4516e-01
 5.3981e-01  1.6129    
 6.2136e-01  1.9355    
 7.1650e-01  2.9032    
 8.5243e-01  4.1935    
 8.6602e-01  4.8387    
 9.6117e-01  5.8065    
 9.8835e-01  6.7742    
 1.0155      7.4194    
 1.0835      9.3548    
 1.1515      1.0323e+01
 1.2466      1.1935e+01
 1.2602      1.2903e+01
 1.3010      1.4516e+01
 1.3010      1.5484e+01
 1.3553      1.7742e+01
 1.4369      1.8065e+01
 1.4777      1.8387e+01
 1.5456      2.0323e+01
 1.6000      2.3226e+01
 1.6136      2.5484e+01
 1.6680      2.5806e+01
 1.7223      2.7419e+01
 1.7767      2.5806e+01
 1.8990      2.5806e+01
 1.9398      2.6774e+01
 1.9806      2.6774e+01
 2.0078      2.7419e+01
 2.0621      2.7742e+01
 2.1029      2.7742e+01
 2.1437      2.8065e+01
 2.2117      2.9032e+01
 2.2252      2.9677e+01
 2.2796      3.2258e+01
 2.2932      3.3226e+01
 2.3340      3.4516e+01
 2.3476      3.4839e+01
 2.3748      3.5484e+01
 2.3748      3.6129e+01
 2.3883      3.7097e+01
 2.3883      3.7097e+01
 2.3883      3.7097e+01
 2.4155      3.7419e+01
 2.4971      3.9032e+01
 2.4971      4.0000e+01
 2.5243      4.0645e+01
 2.5650      4.1935e+01
 2.6194      4.3548e+01
 2.6602      4.2581e+01
 2.6874      4.1290e+01
 2.7010      3.9677e+01
 2.7010      3.9677e+01
 2.7282      3.8710e+01
 2.7417      3.6774e+01
 2.7417      3.5161e+01
 2.7553      3.3871e+01
 2.8097      3.1935e+01
 2.8097      2.9355e+01
 2.8233      2.9355e+01
 2.8233      2.8065e+01
 2.8913      2.7742e+01
 2.8913      2.7742e+01
 2.9184      2.8710e+01
 2.9320      2.9677e+01
 2.9592      2.9032e+01
 3.0000      2.8710e+01



Name:  cysteine 

