Freq         absorptivity
 2.1214e-01  5.7971e-01
 2.3670e-01  8.6957e-01
 2.6125e-01  1.1594    
 2.9822e-01  1.1594    
 3.3528e-01  8.6957e-01
 3.8457e-01  8.6957e-01
 4.7100e-01  2.8986e-01
 4.9565e-01  2.8986e-01
 5.6958e-01  2.8986e-01
 6.5583e-01  2.8986e-01
 7.5432e-01  5.7971e-01
 8.4049e-01  8.6957e-01
 9.6353e-01  1.4493    
 1.0740      2.8986    
 1.1228      4.3478    
 1.1349      5.2174    
 1.1588      7.5362    
 1.1825      1.0725e+01
 1.1820      1.2174e+01
 1.1939      1.3623e+01
 1.1935      1.5072e+01
 1.2053      1.6522e+01
 1.2176      1.6812e+01
 1.2430      1.4203e+01
 1.2811      1.0725e+01
 1.2945      6.9565    
 1.3446      4.3478    
 1.4186      4.3478    
 1.5293      4.9275    
 1.5785      5.2174    
 1.6644      6.3768    
 1.7625      7.8261    
 1.8480      1.0435e+01
 1.8845      1.1884e+01
 1.9085      1.3913e+01
 1.9325      1.5942e+01
 1.9443      1.7681e+01
 1.9563      1.8841e+01
 1.9676      2.2029e+01
 1.9915      2.4638e+01
 2.0157      2.5797e+01
 2.0659      2.2899e+01
 2.0917      1.9130e+01
 2.1049      1.6522e+01
 2.1425      1.4493e+01
 2.1673      1.3913e+01
 2.2289      1.3913e+01
 2.2781      1.4203e+01
 2.3024      1.5362e+01
 2.3635      1.7101e+01
 2.3993      2.0870e+01
 2.4232      2.3188e+01
 2.4227      2.4638e+01
 2.4471      2.5507e+01
 2.5090      2.4638e+01
 2.5452      2.7246e+01
 2.5691      2.9565e+01
 2.5801      3.3913e+01
 2.6037      3.7101e+01
 2.6154      3.9130e+01
 2.6275      4.0000e+01
 2.6652      3.7681e+01
 2.7271      3.6522e+01
 2.7525      3.4203e+01
 2.7779      3.1884e+01


Name:  glutamic acid    
