Freq         absorptivity
 2.7429e-01  0.0000    
 3.0758e-01  2.3077    
 3.4344e-01  3.0769    
 3.8187e-01  2.3077    
 3.9425e-01  2.3077    
 4.5744e-01  1.5385    
 4.9458e-01  1.5385    
 5.0696e-01  1.5385    
 6.0473e-01  2.3077    
 6.6535e-01  3.0769    
 7.0249e-01  3.0769    
 8.0026e-01  3.8462    
 8.4850e-01  4.6154    
 9.5993e-01  4.6154    
 1.0205      5.3846    
 1.0773      8.4615    
 1.1490      1.0000e+01
 1.1960      1.1538e+01
 1.2899      1.4615e+01
 1.3689      1.9231e+01
 1.4577      2.5385e+01
 1.4735      3.0769e+01
 1.4782      3.5385e+01
 1.5085      4.6923e+01
 1.5140      5.8462e+01
 1.5255      7.3846e+01
 1.5144      9.5385e+01
 1.5498      1.0385e+02
 1.5972      9.7692e+01
 1.6425      8.5385e+01
 1.6728      7.4615e+01
 1.7377      6.5385e+01
 1.7680      5.4615e+01
 1.8564      4.6154e+01
 1.8936      4.6154e+01
 1.9589      5.1538e+01
 1.9870      5.6923e+01
 2.0212      6.6154e+01
 2.0096      7.3077e+01
 2.0352      8.0000e+01
 2.0860      7.9231e+01
 2.1211      7.3077e+01
 2.1919      6.7692e+01
 2.2637      6.9231e+01
 2.2931      7.3846e+01
 2.3601      7.0769e+01
 2.3755      6.1538e+01
 2.4515      5.3077e+01
 2.4656      4.4615e+01
 2.5515      3.7692e+01
 2.6697      2.6154e+01
 2.7304      2.6923e+01



Name:    glutamine
