Freq         absorptivity
 2.1238e-01  6.1538e-01
 2.3714e-01  6.1538e-01
 3.1143e-01  6.1538e-01
 3.8571e-01  7.1795e-01
 4.7238e-01  9.2308e-01
 5.4667e-01  9.7436e-01
 6.0857e-01  1.0256    
 6.5810e-01  1.1795    
 7.3238e-01  1.2821    
 7.5714e-01  1.3333    
 8.3143e-01  1.3333    
 8.9333e-01  1.5385    
 1.0048      1.6410    
 1.1286      1.7436    
 1.2029      1.7949    
 1.2648      1.9487    
 1.3886      2.2051    
 1.4381      2.3077    
 1.4876      2.4615    
 1.5371      2.7179    
 1.5867      2.8718    
 1.6610      3.0256    
 1.7105      3.1795    
 1.8219      3.2308    
 1.8714      3.5385    
 1.9829      3.7949    
 2.0695      4.0513    
 2.1562      4.6154    
 2.2057      4.9231    
 2.2429      5.4359    
 2.2924      5.7949    
 2.3048      5.8462    
 2.3667      5.9487    
 2.3914      6.1026    
 2.4410      6.5641    
 2.4533      6.7692    
 2.4905      7.0256    
 2.5276      7.3333    
 2.5648      7.1795    
 2.5771      7.0256    
 2.5895      6.7692    
 2.6143      6.5128    
 2.6267      6.3077    
 2.6267      6.1026    
 2.6267      5.7949    
 2.6514      5.5385    
 2.6638      5.3333    
 2.6886      5.1795    
 2.7010      5.0769    
 2.7133      4.9231    
 2.7257      4.8205    
 2.7505      4.7179    
 2.7876      4.6667    



Name: glycine  

