Freq         absorptivity
 2.0000e-01  7.2258e-01
 2.8878e-01  7.2258e-01
 3.5220e-01  8.1290e-01
 4.5366e-01  9.0323e-01
 5.2976e-01  9.9355e-01
 6.1854e-01  1.0839    
 7.3268e-01  1.1742    
 8.0878e-01  1.3548    
 8.4683e-01  1.5355    
 8.7220e-01  2.1677    
 8.8488e-01  2.6194    
 8.9756e-01  2.8000    
 9.1024e-01  2.6194    
 9.2293e-01  2.2581    
 9.2293e-01  1.9871    
 9.3561e-01  1.4452    
 9.8634e-01  1.4452    
 1.1005      1.4452    
 1.2146      1.4452    
 1.3668      1.8065    
 1.4556      2.2581    
 1.5571      3.4323    
 1.5951      4.0645    
 1.6205      4.5161    
 1.6459      4.5161    
 1.6839      4.3355    
 1.6966      4.0645    
 1.7346      3.1613    
 1.7854      2.8000    
 1.8361      2.8000    
 1.8995      3.2516    
 1.9502      3.4323    
 2.0263      4.4258    
 2.0771      5.6000    
 2.1151      6.2323    
 2.1278      7.2258    
 2.1532      8.9419    
 2.1912      1.0297e+01
 2.2039      1.1200e+01
 2.2039      1.1652e+01
 2.2293      1.2013e+01
 2.2420      1.2103e+01
 2.2546      1.1832e+01
 2.2800      1.1290e+01
 2.2927      1.0658e+01
 2.3561      1.0297e+01
 2.3941      1.0026e+01
 2.4195      9.5742    
 2.4449      8.4903    
 2.4702      7.4968    
 2.5210      6.1419    
 2.5463      5.6000    
 2.5844      5.1484    
 2.6224      5.0581    
 2.6351      5.5097    
 2.6605      5.5097    
 2.6859      5.2387    
 2.7493      4.9677    
 2.7746      4.8774    
 2.8000      5.1484    



Name:  hisyidine   

