Freq         absorptivity
 2.0000e-01  5.4194    
 2.1353e-01  4.3871    
 2.5411e-01  4.1290    
 3.2174e-01  3.8710    
 3.7585e-01  3.3548    
 4.4348e-01  3.8710    
 4.9758e-01  4.6452    
 5.9227e-01  5.4194    
 6.5990e-01  6.1935    
 7.1401e-01  7.2258    
 8.2222e-01  7.4839    
 8.7633e-01  8.0000    
 9.1691e-01  8.0000    
 9.7101e-01  8.2581    
 1.0116      9.2903    
 1.2010      1.0581e+01
 1.2957      1.1871e+01
 1.3227      1.3161e+01
 1.3227      1.4710e+01
 1.3633      1.6000e+01
 1.3768      1.6516e+01
 1.4039      1.6774e+01
 1.4580      1.7290e+01
 1.5256      1.8323e+01
 1.5662      2.0129e+01
 1.6068      2.2194e+01
 1.6473      2.4000e+01
 1.6744      2.5032e+01
 1.7014      2.5806e+01
 1.7420      2.6323e+01
 1.7420      2.5032e+01
 1.7826      2.4258e+01
 1.7826      2.3484e+01
 1.8232      2.0903e+01
 1.9314      1.9871e+01
 1.9449      1.8839e+01
 1.9990      1.8581e+01
 2.0396      1.9355e+01
 2.0667      2.0387e+01
 2.0937      2.0903e+01
 2.1343      2.1935e+01
 2.1478      2.2968e+01
 2.1749      2.4258e+01
 2.2019      2.5548e+01
 2.2425      2.6323e+01
 2.2831      2.7871e+01
 2.3507      2.9677e+01
 2.3643      3.0452e+01
 2.4184      3.1226e+01
 2.4589      3.0452e+01
 2.5130      2.9935e+01
 2.5671      2.9419e+01
 2.5942      2.9419e+01
 2.6213      2.9419e+01
 2.6618      3.0194e+01
 2.7024      2.9677e+01
 2.7159      2.8903e+01
 2.7430      2.8387e+01
 2.7836      2.9161e+01
 2.8242      3.0968e+01
 2.8242      3.2000e+01
 2.8377      3.2774e+01
 2.8512      3.4065e+01
 2.8918      3.4839e+01
 2.9053      3.5613e+01
 2.9324      3.6645e+01
 2.9324      3.7161e+01
 2.9594      3.7935e+01
 2.9865      3.8968e+01
 2.9865      3.8968e+01



Name:  isoleucine  

