Freq         absorptivity
 2.1353e-01  1.1594    
 2.6763e-01  2.3188    
 3.3527e-01  2.3188    
 4.1643e-01  2.3188    
 4.8406e-01  4.0580    
 5.3816e-01  5.7971    
 6.0580e-01  8.1159    
 7.0048e-01  1.1014e+01
 7.5459e-01  1.2754e+01
 7.8164e-01  1.3913e+01
 8.6280e-01  1.3913e+01
 9.0338e-01  1.2754e+01
 9.3043e-01  1.1014e+01
 1.0116      1.1014e+01
 1.1063      1.1014e+01
 1.1739      1.3333e+01
 1.2280      1.6812e+01
 1.2686      2.0290e+01
 1.3227      2.3768e+01
 1.3498      2.6667e+01
 1.3768      3.0725e+01
 1.4039      3.3043e+01
 1.4309      3.5942e+01
 1.5121      3.5942e+01
 1.5662      3.5942e+01
 1.6203      3.7101e+01
 1.6338      3.7101e+01
 1.6744      3.5362e+01
 1.7556      3.1884e+01
 1.7826      2.9565e+01
 1.8097      2.7826e+01
 1.8367      2.5507e+01
 1.9179      2.7246e+01
 1.9449      3.0725e+01
 1.9990      3.4203e+01
 2.0396      3.7681e+01
 2.0396      4.1739e+01
 2.0667      4.4058e+01
 2.0937      4.6957e+01
 2.1208      4.8696e+01
 2.1614      4.7536e+01
 2.1884      4.5217e+01
 2.2560      4.4638e+01
 2.2696      4.4638e+01
 2.3372      4.4638e+01
 2.3778      4.8116e+01
 2.4454      5.1014e+01
 2.4725      5.3913e+01
 2.5130      5.6812e+01
 2.5266      5.9710e+01
 2.5401      6.2029e+01
 2.5671      6.3188e+01
 2.5671      6.2029e+01
 2.6077      5.7971e+01
 2.6077      5.5652e+01
 2.6348      5.3913e+01
 2.6618      5.2754e+01
 2.6889      5.3333e+01
 2.7024      5.4493e+01
 2.7024      5.6812e+01
 2.7159      5.7391e+01
 2.7565      5.7971e+01
 2.7836      5.7971e+01
 2.7836      5.6812e+01
 2.7971      5.7391e+01
 2.8242      5.9710e+01
 2.8242      6.2609e+01
 2.8377      6.5507e+01
 2.8512      6.7246e+01
 2.8918      7.0145e+01
 2.9188      7.3043e+01
 2.9459      7.6522e+01
 2.9459      7.8261e+01
 2.9594      8.0000e+01
 2.9729      7.8841e+01
 2.9865      7.6522e+01
 3.0135      7.3043e+01


Name:  leucine 

