Freq         absorptivity
 2.0000e-01  4.6154    
 2.6280e-01  4.6154    
 3.3816e-01  5.0000    
 3.7585e-01  5.3846    
 4.8889e-01  6.1538    
 5.7681e-01  6.9231    
 6.6473e-01  7.6923    
 8.0290e-01  8.4615    
 9.4106e-01  8.8462    
 1.0415      1.0000e+01
 1.1043      1.1538e+01
 1.1546      1.2308e+01
 1.2300      1.4615e+01
 1.2551      1.4615e+01
 1.3304      1.4231e+01
 1.3932      1.3077e+01
 1.4560      1.2692e+01
 1.5565      1.3846e+01
 1.6193      1.5769e+01
 1.6947      1.7692e+01
 1.7449      1.9615e+01
 1.7952      1.9231e+01
 1.8705      1.8846e+01
 1.9333      2.1154e+01
 2.0087      2.5385e+01
 2.0464      2.8846e+01
 2.0715      3.1923e+01
 2.1217      3.6923e+01
 2.1469      4.0769e+01
 2.1845      4.2692e+01
 2.1971      4.4615e+01
 2.2222      4.6154e+01
 2.2348      4.7692e+01
 2.2725      4.5769e+01
 2.3101      4.3462e+01
 2.3353      4.1538e+01
 2.3478      3.8846e+01
 2.3855      3.6923e+01
 2.3981      3.5000e+01
 2.4357      3.1538e+01
 2.4860      3.0000e+01
 2.5111      2.8846e+01
 2.5362      3.0385e+01
 2.5739      3.0385e+01
 2.6367      3.0385e+01
 2.6618      2.9615e+01
 2.6870      2.7692e+01
 2.7246      2.7692e+01
 2.7749      2.8077e+01
 2.8000      2.8077e+01



Name:  lysine   

