Freq         absorptivity
 2.8077e-01  2.6144e-01
 3.0769e-01  2.6144e-01
 3.4808e-01  5.2288e-01
 3.7500e-01  1.0458    
 4.4231e-01  1.3072    
 4.8269e-01  1.5686    
 5.7692e-01  1.8301    
 6.0385e-01  2.3529    
 6.3077e-01  2.6144    
 6.7115e-01  3.1373    
 6.7115e-01  3.6601    
 6.8462e-01  3.9216    
 6.9808e-01  4.1830    
 7.2500e-01  4.7059    
 7.3846e-01  4.9673    
 8.0577e-01  6.0131    
 8.3269e-01  6.2745    
 8.5962e-01  6.5359    
 8.8654e-01  7.3203    
 9.9423e-01  9.4118    
 1.0885      1.0458e+01
 1.2769      1.2549e+01
 1.3442      1.3595e+01
 1.3846      1.3856e+01
 1.3981      1.4379e+01
 1.4250      1.4641e+01
 1.4519      1.5425e+01
 1.4923      1.6471e+01
 1.5462      1.7516e+01
 1.5731      1.8039e+01
 1.6269      2.0392e+01
 1.6538      2.1438e+01
 1.7481      2.4314e+01
 1.7615      2.5359e+01
 1.7885      2.6405e+01
 1.8154      2.7451e+01
 1.8692      2.7974e+01
 2.0577      2.8235e+01
 2.0846      2.8497e+01
 2.2192      2.9542e+01
 2.4615      3.0588e+01
 2.4750      3.0850e+01
 2.5288      3.1373e+01
 2.5962      3.3203e+01
 2.6769      3.5033e+01
 2.7577      3.5556e+01
 2.8115      3.5556e+01
 2.8250      3.4771e+01
 2.8385      3.3464e+01
 2.8385      3.3464e+01
 2.8788      3.3203e+01
 2.8923      3.3203e+01
 2.8923      3.3987e+01
 2.9058      3.4248e+01
 2.9596      3.3464e+01
 2.9596      3.3464e+01
 3.0000      3.3464e+01



Name:  methionine   

