Freq         absorptivity
 2.0000e-01  1.0596    
 2.3805e-01  1.0596    
 2.6341e-01  1.0596    
 3.0146e-01  1.0596    
 3.1415e-01  5.2980e-01
 3.3951e-01  5.2980e-01
 4.1561e-01  1.0596    
 4.9171e-01  1.0596    
 6.6927e-01  2.1192    
 7.8341e-01  2.6490    
 8.7220e-01  4.2384    
 9.4829e-01  5.8278    
 1.0624      7.9470    
 1.1005      9.5364    
 1.1385      1.1126e+01
 1.1639      1.3245e+01
 1.7600      1.8543e+01
 1.7854      2.0132e+01
 1.8107      2.2252e+01
 1.9122      2.6490e+01
 1.9376      2.8609e+01
 1.9502      2.9139e+01
 2.1532      3.3907e+01
 2.2420      3.5497e+01
 2.3054      3.9735e+01
 2.3561      4.3444e+01
 2.3815      4.5563e+01
 2.3815      4.8212e+01
 2.4068      5.0861e+01
 2.4322      5.2450e+01
 2.4449      5.2980e+01
 2.4449      5.6689e+01
 2.4829      6.2517e+01
 2.4956      6.4106e+01
 2.5210      6.6755e+01
 2.5210      6.3576e+01
 2.5463      6.0927e+01
 2.5717      5.8278e+01
 2.6098      4.9272e+01
 2.6224      4.6093e+01
 2.6478      4.2914e+01
 2.6605      4.6623e+01
 2.6732      4.7152e+01
 2.6859      4.7682e+01
 2.7112      4.9272e+01
 2.7239      4.8212e+01
 2.7366      4.6623e+01
 2.7746      4.5563e+01



Name:  phenylalanine   

