Freq         absorptivity
 2.0000e-01  5.0725    
 2.3824e-01  4.3478    
 2.7647e-01  3.9855    
 3.1471e-01  3.9855    
 3.7843e-01  3.6232    
 4.0392e-01  3.6232    
 4.5490e-01  3.6232    
 5.1863e-01  3.6232    
 5.1863e-01  3.9855    
 5.5686e-01  4.3478    
 6.2059e-01  4.3478    
 6.4608e-01  4.7101    
 6.8431e-01  4.7101    
 7.2255e-01  5.0725    
 7.9902e-01  5.4348    
 9.3922e-01  5.7971    
 9.7745e-01  6.8841    
 1.0539      8.3333    
 1.1176      9.0580    
 1.1304      9.0580    
 1.1686      1.0145e+01
 1.1941      1.0145e+01
 1.2451      1.1594e+01
 1.2451      1.1957e+01
 1.2706      1.3043e+01
 1.3343      1.5217e+01
 1.3980      1.7029e+01
 1.5000      1.9203e+01
 1.5765      2.0652e+01
 1.6147      2.3188e+01
 1.7039      2.5725e+01
 1.7167      2.5725e+01
 1.8314      2.8261e+01
 1.9078      2.9710e+01
 2.1627      3.3696e+01
 2.2010      3.2971e+01
 2.3157      3.2609e+01
 2.3539      3.5507e+01
 2.4049      3.8043e+01
 2.5451      4.2391e+01
 2.5833      4.4565e+01
 2.6088      4.7464e+01
 2.6725      4.7101e+01
 2.7108      4.5290e+01
 2.7235      4.3841e+01
 2.7618      4.2029e+01
 2.7618      4.0942e+01
 2.7873      4.0217e+01
 2.8000      3.8406e+01



Name:  proline 

