Freq         absorptivity
 2.0000e-01  1.5190    
 2.1238e-01  1.5190    
 2.4952e-01  1.5190    
 2.7429e-01  1.5190    
 3.4857e-01  1.5190    
 3.8571e-01  1.5190    
 4.7238e-01  1.5190    
 5.0952e-01  1.5190    
 5.9619e-01  2.0253    
 7.2000e-01  2.5316    
 8.3143e-01  3.5443    
 9.8000e-01  5.0633    
 1.1038      7.0886    
 1.1905      8.1013    
 1.3390      1.0633e+01
 1.4381      1.3165e+01
 1.5124      1.4177e+01
 1.5867      1.7722e+01
 1.6733      1.9241e+01
 1.7105      2.1266e+01
 1.7971      2.3797e+01
 1.8467      2.7848e+01
 1.8962      3.0886e+01
 1.9210      3.4430e+01
 1.9457      3.6962e+01
 1.9829      3.7975e+01
 2.0076      3.9494e+01
 2.0448      3.8481e+01
 2.0819      3.5949e+01
 2.1190      3.3418e+01
 2.1438      3.1392e+01
 2.1933      2.8861e+01
 2.2429      2.7342e+01
 2.2676      2.7342e+01
 2.3048      2.8861e+01
 2.3419      3.0380e+01
 2.3790      3.0886e+01
 2.4286      3.0886e+01
 2.5152      3.3418e+01
 2.5276      3.5949e+01
 2.5895      3.8987e+01
 2.6143      4.2532e+01
 2.6267      4.7089e+01
 2.6514      5.1139e+01
 2.6638      5.7215e+01
 2.6762      5.9747e+01
 2.6762      6.2278e+01
 2.6886      6.4810e+01
 2.7381      6.1772e+01
 2.7505      5.9241e+01
 2.7629      5.7215e+01
 2.7629      5.3671e+01
 2.8000      4.8608e+01



Name:  srine   

