Freq         absorptivity
 2.0000e-01  1.0256e+01
 2.3697e-01  1.1282e+01
 2.6161e-01  1.1795e+01
 2.8626e-01  1.2308e+01
 3.3555e-01  1.1282e+01
 3.7251e-01  1.0769e+01
 4.2180e-01  1.0769e+01
 4.5877e-01  1.0256e+01
 5.3270e-01  9.7436    
 5.8199e-01  1.0256e+01
 6.5592e-01  8.7179    
 7.0521e-01  9.2308    
 7.4218e-01  9.2308    
 8.0379e-01  9.2308    
 8.7773e-01  9.2308    
 9.6398e-01  1.0769e+01
 1.0009      1.1795e+01
 1.0872      1.5385e+01
 1.1488      1.7436e+01
 1.2104      1.8974e+01
 1.2597      2.0513e+01
 1.2844      2.2564e+01
 1.3213      2.4615e+01
 1.3583      2.7179e+01
 1.3583      2.8718e+01
 1.3706      3.0256e+01
 1.3829      3.1795e+01
 1.4076      3.2821e+01
 1.4199      3.1795e+01
 1.4569      2.8718e+01
 1.4938      2.6667e+01
 1.5185      2.4103e+01
 1.5678      2.4615e+01
 1.5801      2.5128e+01
 1.6417      2.7692e+01
 1.7033      2.9231e+01
 1.7526      3.1795e+01
 1.7896      3.3846e+01
 1.8142      3.6410e+01
 1.8389      3.8462e+01
 1.9005      4.4615e+01
 1.9621      5.0769e+01
 1.9991      5.5897e+01
 2.0237      6.0000e+01
 2.0483      6.2051e+01
 2.0730      6.3590e+01
 2.0976      6.5641e+01
 2.1346      6.5641e+01
 2.1839      6.0000e+01
 2.2332      5.4872e+01
 2.2825      5.1282e+01
 2.2948      4.9744e+01
 2.3564      5.1282e+01
 2.3687      5.3846e+01
 2.4303      5.6410e+01
 2.4550      5.8462e+01
 2.5166      6.2051e+01
 2.5289      6.4615e+01
 2.5659      6.6154e+01
 2.6275      6.4615e+01
 2.6891      6.2564e+01
 2.7261      6.0000e+01
 2.7507      5.7949e+01
 2.7877      5.4872e+01
 2.8000      5.2308e+01


Name:  threonine   

