Freq         absorptivity
 2.1268e-01  0.0000    
 2.6341e-01  0.0000    
 3.3951e-01  1.9868e-01
 3.9024e-01  1.9868e-01
 4.2829e-01  3.9735e-01
 4.6634e-01  7.9470e-01
 5.8049e-01  1.1921    
 6.3122e-01  1.5894    
 6.9463e-01  2.9801    
 7.0732e-01  2.9801    
 7.4537e-01  3.3775    
 7.8341e-01  3.5762    
 8.3415e-01  3.7748    
 9.1024e-01  4.5695    
 9.3561e-01  5.3642    
 1.0117      4.9669    
 1.1132      5.3642    
 1.1259      5.7616    
 1.1259      6.3576    
 1.1512      7.1523    
 1.1639      7.3510    
 1.2020      8.5430    
 1.2400      8.7417    
 1.2780      9.9338    
 1.3288      1.1126e+01
 1.3668      1.3709e+01
 1.3668      1.4503e+01
 1.4302      1.7086e+01
 1.4810      1.7682e+01
 1.4937      1.6887e+01
 1.4937      1.5894e+01
 1.4937      1.4901e+01
 1.5190      1.4106e+01
 1.5698      1.1921e+01
 1.5698      1.1921e+01
 1.6078      1.1921e+01
 1.6585      1.1921e+01
 1.6966      1.2715e+01
 1.7093      1.3709e+01
 1.7346      1.4702e+01
 1.7473      1.6291e+01
 1.7600      1.7086e+01
 1.7727      1.8079e+01
 1.7727      1.8477e+01
 1.8107      2.1060e+01
 1.8234      2.1258e+01
 1.8868      2.0265e+01
 1.9376      1.8675e+01
 2.0263      1.8079e+01
 2.0644      1.8278e+01
 2.1024      1.9470e+01
 2.1278      2.0265e+01
 2.1785      2.1258e+01
 2.2166      2.2252e+01
 2.2927      2.2649e+01
 2.3688      2.0464e+01
 2.4068      1.8874e+01
 2.4829      1.8079e+01
 2.4956      1.8079e+01
 2.5337      1.8675e+01
 2.6224      1.7483e+01
 2.6478      1.6291e+01
 2.6732      1.6093e+01
 2.6732      1.6093e+01
 2.7239      1.6291e+01
 2.7746      1.5497e+01
 2.8000      1.6291e+01



Name: tryptophan  

