Freq         absorptivity
 2.1287e-01  4.7437    
 2.5149e-01  4.7525    
 2.5149e-01  5.3451    
 3.0297e-01  5.9494    
 3.1584e-01  5.3597    
 3.2871e-01  4.7701    
 3.5446e-01  4.7759    
 3.8020e-01  5.3744    
 4.0594e-01  6.5655    
 4.4455e-01  5.9817    
 4.4455e-01  5.9817    
 5.2178e-01  5.9993    
 5.4752e-01  6.0051    
 7.0198e-01  7.2255    
 8.8218e-01  7.8592    
 9.3366e-01  7.8709    
 9.7228e-01  1.0250e+01
 9.8515e-01  9.0678    
 1.0881      7.3135    
 1.2040      7.3399    
 1.4871      8.5897    
 1.6030      8.6161    
 1.7960      9.2527    
 1.8733      1.1641e+01
 1.8990      1.3424e+01
 1.9376      1.2248e+01
 2.0149      1.4636e+01
 2.0663      1.7018e+01
 2.0921      1.6431e+01
 2.1178      1.3474e+01
 2.2851      1.2327e+01
 2.4010      1.5316e+01
 2.4782      1.7704e+01
 2.6327      2.3073e+01
 2.6327      2.6629e+01
 2.6455      2.9002e+01
 2.6584      3.4338e+01
 2.6713      5.2711e+01
 2.7228      6.5168e+01
 2.7099      7.5831e+01
 2.7356      5.2133e+01
 2.7871      3.6738e+01
 2.8257      3.6747e+01



Name:  tryrosine 

