Freq         absorptivity
 2.1244e-01  5.1860e-01
 2.6220e-01  5.2848e-01
 3.3684e-01  1.0594    
 4.2392e-01  5.6058e-01
 4.6124e-01  1.6002    
 5.2344e-01  1.6126    
 6.1053e-01  2.1460    
 6.9761e-01  2.6794    
 7.8469e-01  4.2451    
 8.7177e-01  5.2946    
 9.8373e-01  6.3491    
 1.0459      8.4260    
 1.1828      1.2582e+01
 1.2823      1.5183e+01
 1.3569      1.7778e+01
 1.3818      2.1396e+01
 1.4689      2.5542e+01
 1.5187      2.8649e+01
 1.5560      3.0721e+01
 1.5684      3.3304e+01
 1.6306      3.3316e+01
 1.6804      3.3842e+01
 1.7053      3.2299e+01
 1.7675      3.1279e+01
 1.8172      2.9224e+01
 1.8545      2.9232e+01
 1.8919      3.0787e+01
 1.9416      3.3378e+01
 1.9914      3.6485e+01
 2.0163      3.9586e+01
 2.0287      4.1137e+01
 2.0536      4.1658e+01
 2.1033      4.3217e+01
 2.1158      4.4767e+01
 2.1282      4.5286e+01
 2.1656      4.5293e+01
 2.2153      4.4271e+01
 2.2651      4.6862e+01
 2.2900      4.8931e+01
 2.3273      5.0487e+01
 2.3646      5.2559e+01
 2.3770      5.3593e+01
 2.3895      5.5144e+01
 2.4019      5.6695e+01
 2.4144      5.8246e+01
 2.4641      5.9804e+01
 2.4641      6.1869e+01
 2.4890      6.3422e+01
 2.5014      6.5489e+01
 2.5014      6.7038e+01
 2.5139      6.9621e+01
 2.5139      7.1685e+01
 2.5263      7.3236e+01
 2.5388      7.4787e+01
 2.5636      7.3760e+01
 2.5885      7.0668e+01
 2.5885      6.9119e+01
 2.5885      6.7055e+01
 2.6010      6.5509e+01
 2.6258      6.2933e+01
 2.6507      5.9841e+01
 2.6632      6.1908e+01
 2.6756      6.4491e+01
 2.6756      6.7072e+01
 2.6880      6.7591e+01
 2.7254      6.5017e+01
 2.7254      6.4501e+01
 2.7502      6.1409e+01
 2.7627      5.9864e+01
 2.7751      6.0382e+01
 2.7751      6.1414e+01
 2.7751      6.4511e+01
 2.7876      6.7094e+01



Name:  valine 

